shop,category,original_price,discount,monthly_sales
30,1,7999.00,7999.00,20000
30,1,5999.00,5999.00,20000
23,1,18888.00,4988.00,4000
13,1,3400.00,3190.00,300
20,1,3500.00,3330.00,1000
20,1,3679.00,3679.00,1000
14,1,5000.00,2360.00,400
8,1,5000.00,1330.00,77
14,1,6550.00,6550.00,400
20,1,5778.00,5778.00,1000
19,1,6000.00,4886.00,900
11,1,4156.00,3598.00,100
12,1,1830.00,1830.00,200
18,1,4000.00,3199.00,800
17,1,5000.00,1330.00,700
12,1,4978.00,4978.00,200
12,1,2820.00,2820.00,200
14,1,6000.00,4876.00,400
11,1,4278.00,3428.00,100
16,1,3518.00,3518.00,600
21,1,3300.00,3240.00,2000
21,1,2378.00,2378.00,2000
21,1,29999.00,4788.00,2000
11,1,5838.00,5838.00,100
14,1,7718.00,7718.00,400
13,1,2050.00,2050.00,300
11,1,3749.00,3749.00,100
11,1,5588.00,4868.00,100
19,1,6800.00,6749.00,900
11,1,5500.00,4868.00,100
11,1,5000.00,1330.00,100
11,1,1820.00,1820.00,100
12,1,2750.00,2750.00,200
8,1,3998.00,2548.00,70
12,1,3299.00,3098.00,200
11,1,4430.00,3380.00,100
2,1,3900.00,3748.00,13
13,1,5999.00,4642.00,300
3,1,1568.00,1568.00,23
2,1,4749.00,4749.00,19
13,1,2860.00,2860.00,300
16,1,6000.00,5000.00,600
5,1,3220.00,3000.00,40
11,1,2849.00,2849.00,100
18,1,2228.00,2228.00,800
1,1,2400.00,1980.00,0
15,1,5838.00,5838.00,500
11,1,6000.00,2360.00,100
20,1,4968.00,4968.00,1000
19,1,4140.00,4140.00,900
12,1,8098.00,8098.00,200
15,1,2378.00,2378.00,500
8,1,2400.00,2050.00,71
20,1,3660.00,3310.00,1000
1,1,4708.00,4708.00,0
2,1,2200.00,2150.00,13
15,1,4858.00,4858.00,500
16,1,5398.00,5047.00,600
8,1,1808.00,1808.00,76
10,1,4799.00,4699.00,98
16,1,2228.00,2228.00,600
11,1,5089.00,3589.00,100
20,1,4190.00,4190.00,1000
20,1,7628.00,7628.00,1000
12,1,3290.00,3290.00,200
11,1,1008.00,1008.00,100
